"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
325,"YJQ","NDB","Y","","417","10.6","DAID","Bella Bella  (Campbell Island)","BC","CAN","na","CO52we","52.1875","-128.125","","2030Hz Rptd","AB  AZ  BC  CA  CO  IL  MI  MN  MO  MT  NC  NE  NV  OH  OR  TX  UT  WA  HI","392","1991-12-09","2026-03-03"
326,"BKT","NDB","Y","1040","1044","8.0","","Blackstone","VA","USA","na","FM07xd","37.1458","-78.0417","","","CO  IL  MA  MD  MI  MO  NC  NE  NH  NJ  NS  NY  OH  ON  PA  QC  SC  TN  TX  VA  WI","250","2003-11-03","2026-02-09"
326,"DC","NDB","Y","408","407","10.234","DAID","Princeton","BC","CAN","na","CN99rl","49.4792","-120.542","500","","AZ  AB  AZ  BC  CA  CO  ID  IL  KS  MI  MN  MO  MT  NC  NE  NH  NV  OH  OR  PA  TN  TX  UT  WA  YT  HI","862","1995-11-16","2026-04-27"
326,"FN","NDB","Y","12","","16.0","DAID","Futuna","","WAL","oc","AH05xq","-14.3125","-178.042","","","CA  OR  HI","84","2011-03-06","2022-10-30"
326,"MA","NDB","Y","1047","1030","6.254","","&#039;Farly&#039;  Midland","TX","USA","na","DM81ux","31.9792","-102.292","400","","DEU  FIN  AB  AZ  BC  CA  CO  FL  IA  ID  IL  IN  KS  LA  MI  MN  MO  MS  MT  NC  NE  NH  NJ  NM  NS  NV  OH  OK  ON  OR  PA  TN  TX  UT  VA  WA  WI  HI","811","1998-02-19","2026-04-26"
326,"SU","NDB","Y","1021","1018","8.6","","'Snoop'  Saint Louis","MO","USA","na","EM48op","38.6458","-90.7917","25","","FIN  CO  IL  IN  KS  MI  MO  NC  NE  OH  ON  PA  TN  TX  WI","157","2001-02-04","2026-02-12"
326,"TO","Other","Y","391","387","6.50","","UNID","","XUN","xx","","","","","TO or OT","DEU  IL","3","2008-12-21","2018-12-16"
326,"UOT","NDB","Y","403","411","6.546","","'Union County'  Union","SC","USA","na","EM94eq","34.6875","-81.625","25","","CO  FL  IL  IN  MD  MI  MO  MS  NC  NE  NH  NJ  OH  ON  PA  SC  TN  TX  VA","187","1998-01-21","2026-03-15"
326,"VQ","NDB","Y","","409","","","Norman Wells","NT","CAN","na","CP65pg","65.2708","-126.708","","","FIN  ISL  NOR  SCT  SWE  AB  AK  BC  IL  TX  WA  YT  HI","26","1988-11-05","2026-03-21"
326,"WR","NDB","Y","1038","1042","4.17","","Whangarei","NI","NZL","oc","RF74ef","-35.7708","174.375","125","","AT  NCL  NFK  NI  NW  NZL  PAQ  QD  SA  SI  TA  VI  CA  OR  HI","187","2004-03-02","2025-10-30"
